KUNNR,KTOKD,NAME1,NAME2,SORTL,STRAS,ORT01,PSTLZ,LAND1,SPRAS,TELF1,SMTP_ADDR,STCD1,STCD2,STCD3,STCEG,LOEVM,SPERM,ERDAT
0002000389,KUNA,Wendt Partnermarkt Kiel,,WENDTPARTN,Marktplatz 83,Kiel,24103,DE,DE,+48 85 2192 7605,einkauf@wendtpartnermarktk.de,,,,DE855853579,,,2015-01-03
0002000390,KUNA,Betriebskantine Clemens AG 2,,BETRIEBSKA,Schulstraße 239,Mannheim,68159,DE,DE,+31 53 3784 2551,buchhaltung@betriebskantinecle.de,DE623232803,,,DE709363555,,,2026-08-26
0002000391,KUNA,Metzgerei Engel,,METZGEREIE,Bahnhofstraße 151,Essen,45127,DE,DE,+41 40 6504 3590,bestellung@metzgereiengel.de,,,,DE151806206,,,2026-01-10
0002000392,DEBI,Krause Vertriebs KG 11,,KRAUSEVERT,Feldweg 5,Amsterdam,1012 AB,NL,EN,+33 29 5799 8301,info@krausevertriebskg1.nl,,,,NL590051847,,,2012-03-03
0002000393,KUNA,Wendt Partnermarkt Dresden,,WENDTPARTN,Feldweg 89,Dresden,01067,DE,DE,+31 55 3513 3426,info@wendtpartnermarktd.de,,,,DE633058100,,,2011-08-07
0002000394,ZCUS,Kiosk Engel Dortmund,Zentrale,KIOSKENGEL,Talstraße 144,Dortmund,44135,DE,DE,+49 59 8107 1664,einkauf@kioskengeldortmund.de,DE093444374,,,DE242314602,,,2020-06-10
0002000395,KUNA,Ziegler Gastronomie GmbH 7,,ZIEGLERGAS,Hauptstraße 68,Bochum,44787,DE,DE,+31 26 5634 6948,einkauf@zieglergastronomie.de,,,,DE863904237,,,2026-01-14
0002000396,DEBI,Thiel Großhandel GmbH,,THIELGROSS,Lindenweg 67,Dresden,01067,DE,DE,+49 81 6272 7055,info@thielgroßhandelgmb.de,,,,DE727133522,,,2017-04-14
0002000397,KUNA,Bergmann Handels GmbH & Co. KG 15,Zentrale,BERGMANNHA,Marktplatz 192,Stuttgart,70173,DE,DE,+48 88 2288 972,einkauf@bergmannhandelsgmb.de,,,,DE603205584,,,2025-09-21
0002000398,ZCUS,Kiosk Vogel Bonn,,KIOSKVOGEL,Lindenweg 37,Bonn,53111,DE,DE,+41 67 2729 8125,bestellung@kioskvogelbonn.de,DE348844744,,,DE636673381,,,2017-06-10
0002000399,KUNA,Rohde Handels GmbH & Co. KG 6,,ROHDEHANDE,,Essen,45127,DE,DE,+49 44 8743 6757,info@rohdehandelsgmbhco.de,DE685997168,,,DE847759777,,,2021-02-17
0002000400,ZCUS,Kiosk Thiel Freiburg,Zentrale,KIOSKTHIEL,Feldweg 200,Freiburg,79098,DE,DE,+48 66 5113 970,bestellung@kioskthielfreiburg.de,,,,DE220392702,,,2014-09-17
0002000401,KUNA,Ziegler Handels GmbH & Co. KG 10,,ZIEGLERHAN,Talstraße 227,Bochum,44787,DE,DE,+33 35 1602 7706,einkauf@zieglerhandelsgmbh.de,,,,DE132684237,,,2016-03-05
0002000402,KUNA,Bäckerei Stein 17,,BÄCKEREIST,Ringstraße 184,Dresden,01067,DE,DE,+31 92 7705 7001,bestellung@bäckereistein17.de,DE215430456,,,DE278493527,,,2017-11-23
0002000403,KUNA,Lehmann Gastronomie GmbH 17,,LEHMANNGAS,Bahnhofstraße 234,Münster,48143,DE,DE,+41 57 7070 2221,info@lehmanngastronomie.de,DE223019995,,,DE798496624,,,2012-08-24
0002000404,KUNA,Betriebskantine Bergmann AG,Zentrale,BETRIEBSKA,Lindenweg 163,Wuppertal,42103,DE,DE,+49 37 9386 2568,info@betriebskantineber.de,,,,DE185848366,,,2013-05-05
0002000405,KUNA,Engel Partnermarkt Essen,Zentrale,ENGELPARTN,Lindenweg 145,Essen,45127,DE,DE,+41 89 6311 3563,buchhaltung@engelpartnermarkte.de,DE553859482,,,DE471616037,,,2020-05-13
0002000406,KUNA,Bäckerei Wendt 6,,BÄCKEREIWE,Brückenstraße 160,Stuttgart,70173,DE,DE,+33 42 6452 7053,einkauf@bäckereiwendt6.de,DE966910606,,,DE973976255,,,2013-04-21
0002000407,DEBI,Sievers Vertriebs KG 2,,SIEVERSVER,Feldweg 75,Wien,1010,AT,DE,+41 41 4783 9622,info@sieversvertriebskg.at,,,,AT371682067,,,2017-10-13
0002000408,KUNA,Hotel Stein Duisburg,,HOTELSTEIN,Bahnhofstraße 32,Duisburg,47051,DE,DE,,bestellung@hotelsteinduisburg.de,DE502283646,,,DE859367923,,,2020-02-17
0002000409,KUNA,Radtke Partnermarkt Münster,,RADTKEPART,Marktplatz 195,Münster,48143,DE,DE,+49 24 1955 1130,bestellung@radtkepartnermarkt.de,DE653649120,,,DE709459021,,,2018-03-25
0002000410,KUNA,Clemens Gastronomie GmbH,,CLEMENSGAS,Industriering 118,Münster,48143,DE,DE,+43 39 5077 1239,buchhaltung@clemensgastronomie.de,DE309313113,,,DE697514872,,,2021-11-05
0002000411,DEBI,Engel Vertriebs KG 19,,ENGELVERTR,Hauptstraße 22,Hamburg,20095,DE,DE,+43 55 4521 2544,buchhaltung@engelvertriebskg19.de,DE305445539,,,DE988815611,,,2013-08-27
0002000412,ZCUS,Kiosk Ziegler Freiburg,Zentrale,KIOSKZIEGL,Feldweg 156,Freiburg,79098,DE,DE,+41 62 6419 3294,bestellung@kioskzieglerfreibu.de,,,,DE214767312,,,2025-11-26
0002000413,KUNA,Ziegler Gastronomie GmbH 12,,ZIEGLERGAS,Marktplatz 122,Mannheim,68159,DE,DE,+49 25 4830 2231,bestellung@zieglergastronomie.de,,,,DE014205306,,,2013-03-11
0002000414,KUNA,Stein Gastronomie GmbH 16,,STEINGASTR,Am Hafen 104,Amsterdam,1012 AB,NL,EN,+48 30 8001 9197,info@steingastronomiegm.nl,,,,NL318112739,,,2018-12-04
0002000415,KUNA,Metzgerei Krause 14,,METZGEREIK,Talstraße 81,Hamburg,20095,DE,DE,+43 87 9710 1323,info@metzgereikrause14.de,DE551036659,,,DE391488388,,,2026-06-22
0002000416,KUNA,Metzgerei Sommer,,METZGEREIS,Feldweg 179,Dortmund,44135,DE,DE,+49 59 5411 1665,bestellung@metzgereisommer.de,,,,DE533319710,X,,2012-08-20
0002000417,DEBI,Wendt Vertriebs KG,,WENDTVERTR,Feldweg 47,Freiburg,79098,DE,DE,+43 93 2002 7567,info@wendtvertriebskg.de,DE513722915,,,DE146413452,,,2014-02-04
0002000418,ZCUS,Kiosk Kaufmann Nürnberg,,KIOSKKAUFM,Gewerbepark 211,Nürnberg,90403,DE,DE,+49 29 8167 6696,einkauf@kioskkaufmannnürnb.de,,,,DE247502975,,,2015-05-03
0002000419,KUNA,Hotel Rohde Wien,,HOTELROHDE,Schulstraße 86,Wien,1010,AT,DE,+43 73 5359 7876,info@hotelrohdewien.at,,,,AT286194742,,,2014-09-11
0002000420,KUNA,Böhm Partnermarkt Stuttgart,,BÖHMPARTNE,Feldweg 134,Stuttgart,70173,DE,DE,+31 41 1194 8005,info@böhmpartnermarktst.de,,,,DE539102450,,,2026-08-10
0002000421,KUNA,Metzgerei Engel 11,,METZGEREIE,Am Hafen 137,Leipzig,04109,DE,DE,+41 94 5813 7414,bestellung@metzgereiengel11.de,,,,DE913261996,,,2025-03-22
0002000422,DEBI,Engel Großhandel GmbH 15,,ENGELGROSS,Marktplatz 235,Freiburg,79098,DE,DE,+33 46 4144 1460,bestellung@engelgroßhandelgmb.de,DE574111470,,,DE060748297,,,2024-08-17
0002000423,KUNA,Kaufmann Handels GmbH & Co. KG 14,,KAUFMANNHA,Bahnhofstraße 169,Frankfurt am Main,60311,DE,DE,+43 84 4828 7909,einkauf@kaufmannhandelsgmb.de,,,,DE210003130,,,2013-03-15
0002000424,KUNA,Ullrich Gastronomie GmbH 11,,ULLRICHGAS,Am Hafen 3,Bielefeld,33602,DE,DE,+31 20 7433 2753,buchhaltung@ullrichgastronomie.de,DE308218156,,,DE983667121,,,2017-07-18
0002000425,KUNA,Metzgerei Engel 3,,METZGEREIE,Talstraße 162,Düsseldorf,40213,DE,DE,+48 95 3234 2507,einkauf@metzgereiengel3.de,,,,DE992624774,,,2020-09-16
0002000426,KUNA,Vetter Partnermarkt Kiel,Zentrale,VETTERPART,Gewerbepark 65,Kiel,24103,DE,DE,+41 56 8546 4198,einkauf@vetterpartnermarkt.de,,,,DE185615434,,,2015-06-02
0002000427,KUNA,Betriebskantine Böhm AG 8,,BETRIEBSKA,Feldweg 66,Lyon,69001,FR,FR,+31 79 4016 5451,info@betriebskantineböh.fr,,,,,,,2020-11-20
0002000428,KUNA,Vogel Partnermarkt Zürich,,VOGELPARTN,Ringstraße 232,Zürich,8001,CH,DE,+41 80 8636 5531,einkauf@vogelpartnermarktz.ch,,,,,,,2018-01-26
0002000429,ZCUS,Kiosk Sievers Duisburg,,KIOSKSIEVE,Marktplatz 229,Duisburg,47051,DE,DE,+48 77 4131 168,buchhaltung@kiosksieversduisbu.de,,,,DE016374183,,,2026-09-04
0002000430,KUNA,Betriebskantine Stein AG 2,,BETRIEBSKA,Feldweg 227,Essen,45127,DE,DE,+41 38 3994 3615,info@betriebskantineste.de,,,,DE757407640,,,2024-01-21
0002000431,KUNA,Metzgerei Krause 13,,METZGEREIK,Hauptstraße 53,München,80331,DE,DE,+31 57 6829 9597,info@metzgereikrause13.de,,,,DE766807109,,,2020-10-25
0002000432,DEBI,Lehmann Vertriebs KG,,LEHMANNVER,Am Hafen 224,Bremen,28195,DE,DE,+31 66 9672 983,einkauf@lehmannvertriebskg.de,DE510625945,,,DE438693201,,,2012-10-18
0002000433,KUNA,Amann Handels GmbH & Co. KG,,AMANNHANDE,Schulstraße 39,Bonn,53111,DE,DE,+48 43 5209 4863,einkauf@amannhandelsgmbhco.de,DE149007585,,,DE869635351,,,2020-04-26
0002000434,KUNA,Betriebskantine Clemens AG 12,,BETRIEBSKA,Talstraße 35,Warszawa,00-001,PL,EN,+31 75 2144 4698,einkauf@betriebskantinecle.pl,,,,,,,2021-06-13
0002000435,DEBI,Amann Großhandel GmbH,,AMANNGROSS,Feldweg 22,Mannheim,68159,DE,DE,+31 42 6566 861,einkauf@amanngroßhandelgmb.de,DE948970498,,,DE183392098,,,2026-12-11
0002000436,KUNA,Betriebskantine Böhm AG 2,,BETRIEBSKA,Lindenweg 230,München,80331,DE,DE,+41 73 7031 6797,info@betriebskantineböh.de,DE326031318,,,DE156739475,,,2022-10-23
0002000437,ZCUS,Kiosk Amann Hannover,,KIOSKAMANN,Industriering 55,Hannover,30159,DE,DE,+41 42 8124 3608,einkauf@kioskamannhannover.de,,,,DE596479505,,,2014-06-13
0002000438,KUNA,Hotel Sommer Rotterdam,,HOTELSOMME,Feldweg 189,Rotterdam,3011 AA,NL,EN,+49 27 9876 703,info@hotelsommerrotterd.nl,,,,NL443481903,X,,2020-05-02
0002000439,KUNA,Hotel Rohde Freiburg,,HOTELROHDE,Schulstraße 236,Freiburg,79098,DE,DE,+48 71 7464 9705,buchhaltung@hotelrohdefreiburg.de,,,,DE160337447,,,2018-07-25
0002000440,ZCUS,Kiosk Dittrich Münster,,KIOSKDITTR,Feldweg 40,Münster,48143,DE,DE,+33 81 5059 4466,bestellung@kioskdittrichmünst.de,,,,DE340510624,,,2019-08-03
0002000441,KUNA,Betriebskantine Brandes AG 10,,BETRIEBSKA,Hauptstraße 152,Bonn,53111,DE,DE,+41 82 1804 8996,bestellung@betriebskantinebra.de,DE505383763,,,DE449313121,,,2014-02-21
0002000442,KUNA,Amann Partnermarkt Hamburg,,AMANNPARTN,Talstraße 74,Hamburg,20095,DE,DE,+31 30 4696 4126,buchhaltung@amannpartnermarkth.de,DE646561917,,,DE834009126,,,2024-09-26
0002000443,DEBI,Ziegler Großhandel GmbH,,ZIEGLERGRO,Gewerbepark 5,Düsseldorf,40213,DE,DE,+43 74 1655 5629,bestellung@zieglergroßhandelg.de,,,,DE715236864,,,2020-04-19
0002000444,KUNA,Winkler Partnermarkt Karlsruhe,,WINKLERPAR,Talstraße 125,Karlsruhe,76133,DE,DE,+31 35 8220 5791,info@winklerpartnermark.de,DE769752809,,,DE435000801,,,2020-11-01
0002000445,KUNA,Krause Gastronomie GmbH 3,,KRAUSEGAST,Hauptstraße 123,Düsseldorf,423,DE,DE,+31 56 4602 4583,buchhaltung@krausegastronomieg.de,,,,DE014992452,,,2018-03-19
0002000446,KUNA,Hotel Sievers Augsburg,,HOTELSIEVE,Gewerbepark 182,Augsburg,86150,DE,DE,+49 26 2747 4747,bestellung@hotelsieversaugsbu.de,DE779371411,,,DE899815725,,,2025-08-03
0002000447,KUNA,Betriebskantine Amann AG 8,,BETRIEBSKA,Brückenstraße 145,Duisburg,47051,DE,DE,+41 72 4041 2949,buchhaltung@betriebskantineama.de,DE717547041,,,DE040897843,,,2025-04-28
0002000448,KUNA,Bäckerei Brandes 4,Zentrale,BÄCKEREIBR,Feldweg 115,Dresden,01067,DE,DE,+43 84 1317 463,buchhaltung@bäckereibrandes4.de,DE723998101,,,DE621379494,,,2022-09-07
0002000449,DEBI,Stein Großhandel GmbH,,STEINGROSS,Schulstraße 117,Bonn,53111,DE,DE,+33 43 8426 4673,bestellung@steingroßhandelgmb.de,,,,DE200200923,,,2010-11-05
0002000450,KUNA,Krause Handels GmbH & Co. KG 17,,KRAUSEHAND,Schulstraße 205,Leipzig,04109,DE,DE,+41 54 8858 5808,buchhaltung@krausehandelsgmbhc.de,DE558145346,,,DE193231840,,,2014-07-12
0002000451,KUNA,Betriebskantine Wendt AG 2,,BETRIEBSKA,Am Hafen 232,Leipzig,04109,DE,DE,+49 60 1128 3336,buchhaltung@betriebskantinewen.de,DE787965042,,,DE058780924,,,2025-10-04
0002000452,KUNA,Kaufmann Partnermarkt Mannheim,,KAUFMANNPA,Schulstraße 56,Mannheim,68159,DE,DE,+48 44 8246 2282,buchhaltung@kaufmannpartnermar.de,,,,DE769851806,,,2026-07-02
0002000453,DEBI,Lehmann Vertriebs KG 7,,LEHMANNVER,Gewerbepark 113,Nürnberg,90403,DE,DE,+43 40 5540 3591,einkauf@lehmannvertriebskg.de,DE421801312,,,DE261300358,,,2024-08-04
0002000454,KUNA,Bergmann Partnermarkt Bonn,,BERGMANNPA,Bahnhofstraße 215,Bonn,53111,DE,DE,+41 91 5905 2755,buchhaltung@bergmannpartnermar.de,,,,DE973956322,,,2019-10-20
0002000455,KUNA,Ullrich Gastronomie GmbH 3,,ULLRICHGAS,Marktplatz 87,Wien,1010,AT,DE,+49 73 7245 4636,bestellung@ullrichgastronomie.at,,,,,,,2016-07-03
0002000456,KUNA,Thiel Handels GmbH & Co. KG,Zentrale,THIELHANDE,Lindenweg 164,Freiburg,79098,DE,DE,+33 41 1357 1901,einkauf@thielhandelsgmbhco.de,,,,DE372989001,,,2010-12-11
0002000457,KUNA,Sievers Partnermarkt Dortmund,Zentrale,SIEVERSPAR,Schulstraße 117,Dortmund,44135,DE,DE,+48 53 9486 575,buchhaltung@sieverspartnermark.de,DE172041504,,,DE165428273,,,2015-06-18
0002000458,DEBI,Gruber Großhandel GmbH 7,,GRUBERGROS,Schulstraße 31,Bielefeld,33602,DE,DE,+31 83 2343 4421,buchhaltung@grubergroßhandelgm.de,DE568831095,,,DE573353519,,,2015-06-25
0002000459,KUNA,Sievers Gastronomie GmbH,,SIEVERSGAS,Hauptstraße 85,Freiburg,79098,DE,DE,+33 47 5862 8472,buchhaltungsieversgastronomie.de,DE605839909,,,DE517749183,,,2023-02-01
0002000460,KUNA,Ullrich Gastronomie GmbH 17,,ULLRICHGAS,Talstraße 130,Köln,50667,DE,DE,+41 97 9559 4569,info@ullrichgastronomie.de,,,,DE905484957,,,2024-11-28
0002000461,KUNA,Bergmann Partnermarkt Wien,,BERGMANNPA,Brückenstraße 111,Wien,1010,AT,DE,+31 24 8690 6100,buchhaltung@bergmannpartnermar.at,,,,AT813017282,,,2012-01-21
0002000462,DEBI,Ullrich Großhandel GmbH 8,,ULLRICHGRO,Am Hafen 162,Wuppertal,42103,DE,DE,+33 38 9404 2704,info@ullrichgroßhandelg.de,DE337808573,,,DE659579234,,,2011-10-02
0002000463,KUNA,Thiel Gastronomie GmbH 2,,THIELGASTR,Hauptstraße 171,Münster,48143,DE,DE,+48 66 8911 4146,info@thielgastronomiegm.de,DE190051054,,,DE414117135,,,2016-07-15
0002000464,KUNA,Hotel Vetter Zürich,,HOTELVETTE,Brückenstraße 170,Zürich,8001,CH,DE,+49 98 5612 2863,,,,,,,,2024-03-28
0002000465,KUNA,Metzgerei Clemens,,METZGEREIC,Feldweg 61,Nürnberg,90403,DE,DE,,einkauf@metzgereiclemens.de,DE095881887,,,DE992284659,,,2022-07-07
0002000466,KUNA,Metzgerei Krause 4,,METZGEREIK,Feldweg 138,Bremen,28195,DE,DE,+31 60 6874 6272,einkauf@metzgereikrause4.de,,,,DE670462564,,,2024-12-13
0002000467,KUNA,Metzgerei Ullrich,,METZGEREIU,Talstraße 214,Karlsruhe,76133,DE,DE,+33 36 1766 7767,einkauf@metzgereiullrich.de,,,,DE826231258,,,2024-05-15
0002000468,KUNA,Eckert Handels GmbH & Co. KG,,ECKERTHAND,Bahnhofstraße 190,Münster,48143,DE,DE,+48 54 3022 5587,info@eckerthandelsgmbhc.de,,,,DE346040764,,,2013-06-21
0002000469,KUNA,Metzgerei Vogel,,METZGEREIV,Schulstraße 158,Stuttgart,70173,DE,DE,+31 84 9336 6074,buchhaltung@metzgereivogel.de,DE798073347,,,DE206054486,,,2025-04-13
0002000470,KUNA,Radtke Gastronomie GmbH 14,,RADTKEGAST,Bahnhofstraße 1,Mannheim,68159,DE,DE,+41 37 4597 6346,bestellung@radtkegastronomieg.de,DE914601536,,,DE689699175,,,2025-02-17
0002000471,KUNA,Vetter Partnermarkt Rotterdam,,VETTERPART,Hauptstraße 124,Rotterdam,3011 AA,NL,EN,+48 76 3923 8242,buchhaltung@vetterpartnermarkt.nl,,,,,,,2020-07-27
0002000472,KUNA,Betriebskantine Hartmann AG 18,,BETRIEBSKA,Gewerbepark 133,Düsseldorf,40213,DE,DE,+33 25 6518 2391,buchhaltung@betriebskantinehar.de,DE269833144,,,DE375439847,,,2025-07-07
0002000473,KUNA,Bäckerei Clemens 19,,BÄCKEREICL,Am Hafen 56,Hannover,30159,DE,DE,+49 56 1420 4050,bestellung@bäckereiclemens19.de,,,,DE907514177,,,2026-03-03
0002000474,ZCUS,Kiosk Ziegler Essen,,KIOSKZIEGL,Gewerbepark 15,Essen,45127,DE,DE,+33 92 6585 3215,bestellung@kioskziegleressen.de,,,,DE539195052,,,2015-03-03
0002000475,KUNA,Metzgerei Krause 9,,METZGEREIK,Ringstraße 55,Zürich,8001,CH,DE,+41 54 9488 2086,buchhaltung@metzgereikrause9.ch,,,,,,,2024-05-22
0002000476,KUNA,Bäckerei Lehmann 13,,BÄCKEREILE,Feldweg 127,Dortmund,44135,DE,DE,+33 66 2852 9423,bestellung@bäckereilehmann13.de,,,,DE281085557,,,2019-12-14
0002000477,DEBI,Engel Großhandel GmbH 3,,ENGELGROSS,Marktplatz 188,Augsburg,86150,DE,DE,+41 71 9084 8212,einkauf@engelgroßhandelgmb.de,,,,DE530413714,,,2013-09-20
0002000478,KUNA,Hotel Brandes Köln,,HOTELBRAND,Talstraße 191,Köln,50667,DE,DE,+43 21 6920 2990,info@hotelbrandesköln.de,DE201834449,,,DE548063337,,,2025-06-08
0002000479,ZCUS,Kiosk Dittrich Hamburg,,KIOSKDITTR,Gewerbepark 33,Hamburg,20095,DE,DE,+43 47 5903 7125,einkauf@kioskdittrichhambu.de,DE161785297,,,DE357759721,,,2016-05-03
0002000480,KUNA,Clemens Gastronomie GmbH 19,,CLEMENSGAS,Marktplatz 53,Mannheim,68159,DE,DE,+31 68 6920 8651,buchhaltung@clemensgastronomie.de,,,,DE723231014,,,2026-06-28
0002000481,DEBI,Engel Vertriebs KG 18,,ENGELVERTR,Industriering 55,Bonn,53111,DE,DE,+43 55 6157 7971,info@engelvertriebskg18.de,,,,DE904466416,,,2016-12-21
0002000482,KUNA,Betriebskantine Dittrich AG,Zentrale,BETRIEBSKA,Talstraße 110,Rotterdam,3011 AA,NL,EN,+43 64 8441 9940,info@betriebskantinedit.nl,,,,,,,2012-03-23
0002000483,KUNA,Bergmann Partnermarkt Karlsruhe,,BERGMANNPA,Industriering 5,Karlsruhe,76133,DE,DE,+41 72 7814 9128,bestellung@bergmannpartnermar.de,,,,DE969288097,,,2020-04-21
0002000484,KUNA,Hotel Böhm Stuttgart,,HOTELBÖHMS,Gewerbepark 132,Stuttgart,70173,DE,DE,+31 74 8190 4003,buchhaltung@hotelböhmstuttgart.de,,,,DE633927664,,,2019-01-09
0002000485,ZCUS,Kiosk Ullrich Bochum 12,,KIOSKULLRI,Hauptstraße 203,Bochum,44787,DE,DE,+43 92 7862 2102,bestellung@kioskullrichbochum.de,,,,DE066390898,,,2011-06-03
0002000486,DEBI,Lehmann Vertriebs KG 11,,LEHMANNVER,Talstraße 2,Graz,8010,AT,DE,+41 25 5377 242,einkauf@lehmannvertriebskg.at,,,,,,,2019-08-12
0002000487,KUNA,Betriebskantine Gruber AG 5,,BETRIEBSKA,Lindenweg 124,Zürich,8001,CH,DE,+49 76 8183 625,bestellung@betriebskantinegru.ch,,,,,,,2020-01-19
0002000488,KUNA,Metzgerei Engel 9,,METZGEREIE,Lindenweg 192,Frankfurt am Main,60311,DE,DE,+31 30 8016 7332,bestellung@metzgereiengel9.de,DE694991963,,,DE177367151,,,2016-09-24
0002000489,KUNA,Bäckerei Engel,,BÄCKEREIEN,Gewerbepark 91,Hannover,30159,DE,DE,+49 83 3639 4517,einkauf@bäckereiengel.de,,,,DE516670495,,,2018-05-11
0002000490,KUNA,Hartmann Partnermarkt Nürnberg,,HARTMANNPA,Gewerbepark 64,Nürnberg,90403,DE,DE,+31 37 1133 8826,einkauf@hartmannpartnermar.de,DE707496080,,,DE237781672,,,2012-05-10
0002000491,KUNA,Ullrich Partnermarkt Bielefeld,,ULLRICHPAR,Industriering 239,Bielefeld,33602,DE,DE,+49 27 2079 5363,einkauf@ullrichpartnermark.de,DE083390178,,,DE694758810,,,2015-03-21
0002000492,KUNA,Betriebskantine Wendt AG 11,,BETRIEBSKA,Gewerbepark 223,Zürich,8001,CH,DE,+48 25 8785 2482,buchhaltung@betriebskantinewen.ch,,,,,,,2015-07-11
0002000493,KUNA,Sievers Gastronomie GmbH 18,,SIEVERSGAS,,Köln,50667,DE,DE,+48 96 8417 2853,info@sieversgastronomie.de,,,,DE401841131,,,2021-06-12
0002000494,KUNA,Gruber Handels GmbH & Co. KG 7,,GRUBERHAND,Ringstraße 157,Amsterdam,1012 AB,NL,EN,+33 93 1956 9270,info@gruberhandelsgmbhc.nl,,,,NL708129624,,,2024-11-04
0002000495,KUNA,Betriebskantine Winkler AG,,BETRIEBSKA,Am Hafen 164,Bonn,53111,DE,DE,+43 88 5261 7242,einkauf@betriebskantinewin.de,DE481133168,,,DE550714978,,,2013-07-16
0002000496,KUNA,Engel Gastronomie GmbH,,ENGELGASTR,Am Hafen 45,Essen,45127,DE,DE,+43 38 5967 4248,einkauf@engelgastronomiegm.de,,,,DE070082704,,,2018-09-16
0002000497,KUNA,Bäckerei Sommer,,BÄCKEREISO,Bahnhofstraße 94,Duisburg,47051,DE,DE,+48 44 4608 5162,einkauf@bäckereisommer.de,DE669586484,,,DE653670628,,,2024-02-26
0002000498,KUNA,Hotel Brandes Düsseldorf,,HOTELBRAND,Am Hafen 110,Düsseldorf,40213,DE,DE,+48 59 9760 9592,info@hotelbrandesdüssel.de,,,,DE526683529,,,2012-05-26
0002000499,KUNA,Kaufmann Gastronomie GmbH,,KAUFMANNGA,Brückenstraße 194,Duisburg,47051,DE,DE,+41 93 4647 7972,buchhaltung@kaufmanngastronomi.de,DE695564048,,,DE062036861,,,2017-01-13
0002000500,KUNA,Hotel Dittrich Dresden,,HOTELDITTR,Am Hafen 35,Dresden,01067,DE,DE,+49 95 1311 3755,einkauf@hoteldittrichdresd.de,DE545168254,,,DE666083113,,,2022-09-03
0002000501,DEBI,Ziegler Vertriebs KG 2,,ZIEGLERVER,Brückenstraße 237,Bremen,28195,DE,DE,+33 43 7169 8935,buchhaltung@zieglervertriebskg.de,DE480936774,,,DE966323786,,,2018-03-05
0002000502,KUNA,Hotel Thiel Karlsruhe,Zentrale,HOTELTHIEL,Schulstraße 41,Karlsruhe,76133,DE,DE,+48 72 2701 269,buchhaltung@hotelthielkarlsruh.de,DE619321113,,,DE612100748,,,2011-04-13
0002000503,KUNA,Betriebskantine Krause AG 5,Zentrale,BETRIEBSKA,Am Hafen 197,Leipzig,04109,DE,DE,+43 54 2851 4786,info@betriebskantinekra.de,DE153629533,,,DE010210170,,,2016-06-01
0002000504,KUNA,Gruber Gastronomie GmbH 10,,GRUBERGAST,Bahnhofstraße 3,Karlsruhe,76133,DE,DE,+31 27 3543 8408,bestellung@grubergastronomieg.de,,,,DE124030198,,,2017-06-12
0002000505,DEBI,Wendt Großhandel GmbH,Zentrale,WENDTGROSS,Feldweg 72,Freiburg,79098,DE,DE,+33 77 1366 2653,einkauf@wendtgroßhandelgmb.de,DE612292740,,,DE792965445,,,2019-07-21
0002000506,KUNA,Betriebskantine Rohde AG,,BETRIEBSKA,Marktplatz 174,Amsterdam,1012 AB,NL,EN,+31 94 6957 1153,bestellung@betriebskantineroh.nl,,,,NL186090754,,,2017-02-09
0002000507,ZCUS,Kiosk Amann Hamburg,,KIOSKAMANN,Am Hafen 160,Hamburg,20095,DE,DE,+48 87 2317 4490,buchhaltung@kioskamannhamburg.de,,,,DE449640443,,,2018-06-27
0002000508,KUNA,Amann Handels GmbH & Co. KG 7,Zentrale,AMANNHANDE,Schulstraße 34,Bochum,44787,DE,DE,+48 31 3467 136,buchhaltung@amannhandelsgmbhco.de,DE191081006,,,DE699809774,,,2022-10-22
0002000509,KUNA,Hotel Bergmann Basel,,HOTELBERGM,Marktplatz 52,Basel,4051,CH,DE,+33 50 9603 9569,info@hotelbergmannbasel.ch,,,,,,,2015-01-20
0002000510,KUNA,Betriebskantine Vogel AG 13,,BETRIEBSKA,Industriering 220,Hamburg,20095,DE,DE,+41 32 7113 5442,einkauf@betriebskantinevog.de,DE502168671,,,DE697969048,,,2016-06-04
0002000511,KUNA,Ziegler Handels GmbH & Co. KG 19,,ZIEGLERHAN,Schulstraße 69,München,80331,DE,DE,+33 44 3929 3168,bestellung@zieglerhandelsgmbh.de,DE272595056,,,DE086107577,,,2019-06-28
0002000512,KUNA,Bäckerei Brandes 4,,BÄCKEREIBR,Hauptstraße 240,Rotterdam,3011 AA,NL,EN,+31 80 8882 2834,,,,,NL720702155,,,2013-05-11
0002000513,KUNA,Bäckerei Amann 5,,BÄCKEREIAM,Marktplatz 178,Köln,50667,DE,DE,+33 50 1731 206,info@bäckereiamann5.de,,,,DE244212937,,,2011-11-11
0002000514,KUNA,Metzgerei Thiel 14,,METZGEREIT,Brückenstraße 193,Lille,59000,FR,FR,+41 21 7472 6351,bestellung@metzgereithiel14.fr,,,,,,,2020-02-28
0002000515,KUNA,Lehmann Gastronomie GmbH 9,,LEHMANNGAS,Bahnhofstraße 81,Bielefeld,33602,DE,DE,+33 53 1037 4231,info@lehmanngastronomie.de,DE323753476,,,DE428123187,,,2016-02-16
0002000516,KUNA,Bäckerei Hartmann 9,Zentrale,BÄCKEREIHA,Feldweg 39,Dresden,01067,DE,DE,+33 49 2484 1606,einkauf@bäckereihartmann9.de,,,,DE102638153,,,2014-02-08
0002000517,KUNA,Metzgerei Sommer 14,,METZGEREIS,Lindenweg 160,Wien,1010,AT,DE,+49 76 2435 1160,einkauf@metzgereisommer14.at,,,,AT070607972,,,2013-01-08
